ticker,bank_name,cert,period_year,period_quarter,period_label,risk_report_date,CERT,REPDTE,NAME,ASSET,DEP,NETINC,ROA,ROE,EQ,NIMY,NCLNLS,NCLNLSR,P3ASSET,P9ASSET,COREDEP,DEPDOM,DEPINS,DEPUNINS,LNLSNET,equity_assets_ratio,deposit_assets_ratio,core_deposit_ratio
FLG,"Flagstar Financial, Inc.",32541,2024,2,2024_Q2,20240630,32541,20240630,FLAGSTAR BANK NATIONAL ASSN,118993651,79682020,-606481,-1.05221139344513,-13.27,8993026,2.3094269793144604,2512859,3.0496537459677198,1340639,0,56474214,79682020,64209739,16847625,81129826,7.557567924359258,66.96325335878635,70.87447582277659
FLG,"Flagstar Financial, Inc.",32541,2024,3,2024_Q3,20240930,32541,20240930,FLAGSTAR BANK NATIONAL ASSN,114306851,83625177,-857901,-0.9943423459223801,-12.58,8946458,2.2122053229277636,3286931,4.476148856930727,447124,0,59803661,83625177,66636227,18920158,72168120,7.82670323058764,73.15849948486465,71.51394250561646
FLG,"Flagstar Financial, Inc.",32541,2024,4,2024_Q4,20241231,32541,20241231,FLAGSTAR BANK NATIONAL ASSN,100102295,76448437,-1019390,-0.9097775222466437,-11.34,8579156,2.1664783984331177,3139361,4.538517440757292,993338,0,54892601,76448437,59955859,19103159,67970509,8.570388920653617,76.37031398730669,71.80343137689003
FLG,"Flagstar Financial, Inc.",32541,2025,1,2025_Q1,20250331,32541,20250331,FLAGSTAR BANK NATIONAL ASSN,97568113,74441023,-76204,-0.3084083278666577,-3.55,8602768,1.866813611626611,3508489,5.226886934446007,1042500,0,54796355,74441023,58315708,17113033,65955874,8.817192149652419,76.2964668590034,73.61042714310898
FLG,"Flagstar Financial, Inc.",32541,2025,2,2025_Q2,20250630,32541,20250630,FLAGSTAR BANK NATIONAL ASSN,92176203,70246292,-127933,-0.2648290409026035,-2.98,8577865,1.9262906922648715,3395652,5.269484390648537,622431,0,52839290,70246292,54273385,16516899,63333929,9.30594309683162,76.20870649228196,75.22004150767133
FLG,"Flagstar Financial, Inc.",32541,2025,3,2025_Q3,20250930,32541,20250930,FLAGSTAR BANK NATIONAL ASSN,91593478,69627599,-158977,-0.2222776684597512,-2.47,8609465,1.9701090381767796,3469780,5.490548647557312,780472,0,53592741,69627599,52417133,18450494,62124506,9.399648520825904,76.01807521710225,76.97054295955257
FLG,"Flagstar Financial, Inc.",32541,2025,4,2025_Q4,20251231,32541,20251231,FLAGSTAR BANK NATIONAL ASSN,87511954,65999563,-129429,-0.13799811935140668,-1.52,8144856,2.0391596118582727,3214425,5.269838330309697,1021718,0,51952673,65999563,48921390,17537165,59966654,9.307135342904123,75.41776863992776,78.71669241203915
FNB,Fnb Corp,7888,2024,1,2024_Q1,20240331,7888,20240331,FIRST NB OF PENNSYLVANIA,45781509,35079451,126351,1.1008888583403482,8.49,5968943,3.2569465072865795,132911,0.40705923795935584,86794,16698,32416813,35079451,21181074,13996129,32248098,13.037890472330215,76.62362330608194,92.4096930707382
FNB,Fnb Corp,7888,2024,2,2024_Q2,20240630,7888,20240630,FIRST NB OF PENNSYLVANIA,47577714,35375939,256328,1.1033152321066648,8.58,6031247,3.208749600681724,115901,0.34239935384865816,91412,10493,32680721,35375939,21603039,13862280,33433805,12.676622084028669,74.35401162821736,92.38121142169541
FNB,Fnb Corp,7888,2024,3,2024_Q3,20240930,7888,20240930,FIRST NB OF PENNSYLVANIA,47767124,37129326,374315,1.0666127530258087,8.28,6163019,3.2069766382146465,138374,0.4085726136883843,122686,12206,34078632,37129326,22088957,15127293,33450383,12.902219107853345,77.7298754683242,91.78359984234564
FNB,Fnb Corp,7888,2024,4,2024_Q4,20241231,7888,20241231,FIRST NB OF PENNSYLVANIA,48447307,38088297,493579,1.0474510061110076,8.15,6191493,3.189113100838467,171103,0.5015391206552408,106633,14013,35184635,38088297,22419346,15860698,33696045,12.779849662231998,78.61798592850579,92.37649821938744
FNB,Fnb Corp,7888,2025,1,2025_Q1,20250331,7888,20250331,FIRST NB OF PENNSYLVANIA,48800205,38155227,130960,1.0773334746085843,8.38,6315179,3.1677241548213932,166836,0.48522474989414904,87831,8766,35315453,38155227,22467615,15782031,33957648,12.94088621144112,78.18661212591218,92.55731331384818
FNB,Fnb Corp,7888,2025,2,2025_Q2,20250630,7888,20250630,FIRST NB OF PENNSYLVANIA,49501367,38597852,277258,1.133601845094844,8.78,6435158,3.2565507080887595,158926,0.4549557690161226,85521,12688,35661044,38597852,22940186,15810015,34503445,12.999960182917777,77.97330526245871,92.39126571084837
FNB,Fnb Corp,7888,2025,3,2025_Q3,20250930,7888,20250930,FIRST NB OF PENNSYLVANIA,49665430,38921138,439387,1.1930590802322858,9.19,6557610,3.306299810345155,135783,0.38583426775357493,88299,13242,35922899,38921138,23185114,15852027,34758152,13.20357037077903,78.3666586597559,92.29663068947265
FNB,Fnb Corp,7888,2025,4,2025_Q4,20251231,7888,20251231,FIRST NB OF PENNSYLVANIA,50018001,39124307,633751,1.2858520865222585,9.84,6711049,3.3283529687599427,115411,0.32735223632170346,95905,12575,36265152,39124307,23203304,16043346,34819377,13.417267515349124,78.22045307248484,92.6921261506306
GS,Goldman Sachs Group Inc,33124,2024,1,2024_Q1,20240331,33124,20240331,GOLDMAN SACHS BANK USA,549378000,380095000,2308000,1.7248337194529557,16.48,57222000,1.9411659235193508,3537000,2.054710963686745,543000,477000,272220000,363106000,231525000,166508000,168172000,10.415779299498706,69.1864253756066,71.61893737092043
GS,Goldman Sachs Group Inc,33124,2024,2,2024_Q2,20240630,33124,20240630,GOLDMAN SACHS BANK USA,545184000,373271000,4397000,1.632889016528189,15.38,59476000,1.832663425298612,3401000,1.9482044554937534,736000,421000,266030000,356889000,233081000,158552000,170664000,10.909344368139932,68.46697628690497,71.26993524811732
GS,Goldman Sachs Group Inc,33124,2024,3,2024_Q3,20240930,33124,20240930,GOLDMAN SACHS BANK USA,566509000,389005000,5817000,1.4216665864713751,13.33,61328000,1.8408307611524708,3425000,1.8676758478157733,816000,484000,273445000,370460000,243275000,152409000,179454000,10.825600299377415,68.6670467724255,70.29344095834243
GS,Goldman Sachs Group Inc,33124,2024,4,2024_Q4,20241231,33124,20241231,GOLDMAN SACHS BANK USA,561177000,389733000,7705000,1.4043049556199536,13.02,63033000,1.862759041890117,2892000,1.5250188518063459,714000,487000,280315000,372596000,234710000,171069000,185734000,11.232285000988993,69.44921121143597,71.92488190633074
GS,Goldman Sachs Group Inc,33124,2025,1,2025_Q1,20250331,33124,20250331,GOLDMAN SACHS BANK USA,598460000,407086000,2335000,1.6108489122026979,14.51,65748000,1.9195743415051623,2530000,1.260324197228283,590000,437000,286314000,386866000,249926000,164840000,196998000,10.986197907963774,68.02225712662501,70.33255872223559
GS,Goldman Sachs Group Inc,33124,2025,2,2025_Q2,20250630,33124,20250630,GOLDMAN SACHS BANK USA,625410000,407844000,4376000,1.4708856405461594,13.51,65578000,1.9914210341666134,2604000,1.2507144538210673,830000,415000,285492000,390220000,257323000,164966000,204430000,10.485601445451783,65.21226075694344,70.00029423014682
GS,Goldman Sachs Group Inc,33124,2025,3,2025_Q3,20250930,33124,20250930,GOLDMAN SACHS BANK USA,644020000,424766000,6607000,1.45061673473807,13.56,65503000,2.0419305806663637,2504000,1.1692520335833092,757000,421000,298322000,405207000,263372000,169605000,210351000,10.170957423682495,65.95540511164249,70.2320807220917
GS,Goldman Sachs Group Inc,33124,2025,4,2025_Q4,20251231,33124,20251231,GOLDMAN SACHS BANK USA,644997000,438331000,8737000,1.421082970295999,13.43,65331000,2.0134082875446424,2541000,1.114248879612008,728000,414000,301190000,418796000,269828000,178227000,226576000,10.128884320392189,67.95861066020463,68.71291330067916
HBAN,Huntington Bancshares Inc,6560,2024,1,2024_Q1,20240331,6560,20240331,HUNTINGTON NATIONAL BANK,192859200,157649840,481875,1.010246750659254,10.83,17649823,3.1353308319662445,896201,0.7276580958457638,593904,179566,148594554,157649840,107747292,50975671,120882815,9.151662456341207,81.74348955092627,94.2560766316033
HBAN,Huntington Bancshares Inc,6560,2024,2,2024_Q2,20240630,6560,20240630,HUNTINGTON NATIONAL BANK,195864166,159226531,1005834,1.0451053868940432,11.36,17505989,3.118253995617081,906010,0.7248354161747814,625539,173066,149493568,159226531,108672988,52018263,122690926,8.9378212245317,81.29436550430567,93.8873484595353
HBAN,Huntington Bancshares Inc,6560,2024,3,2024_Q3,20240930,6560,20240930,HUNTINGTON NATIONAL BANK,199221822,162822191,1553565,1.0667863554535721,11.59,18377037,3.118944026917928,963454,0.7589384830706691,617326,225088,152646366,162822191,110467623,53318323,124712332,9.224409663314894,81.72909441617294,93.75034512341134
