ticker,bank_name,cert,ffiec_institution_name,period_year,period_quarter,period_label,commercial_loan_90_plus_dpd_numerator,commercial_loan_90_plus_dpd_denominator,commercial_loan_90_plus_dpd_rate,nondepository_requested_numerator,nondepository_requested_denominator,nondepository_requested_rate
SCHW,Schwab Charles Corp,57450,"CHARLES SCHWAB BANK, SSB",2025,1,2025_Q1,0.0,0.0,,0.0,391000.0,0.0
SCHW,Schwab Charles Corp,57450,"CHARLES SCHWAB BANK, SSB",2025,2,2025_Q2,0.0,0.0,,0.0,419000.0,0.0
SCHW,Schwab Charles Corp,57450,"CHARLES SCHWAB BANK, SSB",2025,3,2025_Q3,0.0,0.0,,0.0,414000.0,0.0
SCHW,Schwab Charles Corp,57450,"CHARLES SCHWAB BANK, SSB",2025,4,2025_Q4,0.0,0.0,,0.0,472000.0,0.0
SF,Stifel Financial Corp,57311,STIFEL BANK AND TRUST,2024,1,2024_Q1,0.0,3483945.0,0.0,,494230.0,
SF,Stifel Financial Corp,57311,STIFEL BANK AND TRUST,2024,2,2024_Q2,0.0,3579795.0,0.0,,490256.0,
SF,Stifel Financial Corp,57311,STIFEL BANK AND TRUST,2024,3,2024_Q3,850.0,4096140.0,0.00020751243853969834,,504737.0,
SF,Stifel Financial Corp,57311,STIFEL BANK AND TRUST,2024,4,2024_Q4,0.0,4223615.0,0.0,0.0,506949.0,0.0
SF,Stifel Financial Corp,57311,STIFEL BANK AND TRUST,2025,1,2025_Q1,13631.0,4368644.0,0.003120190155114493,0.0,226433.0,0.0
SF,Stifel Financial Corp,57311,STIFEL BANK AND TRUST,2025,2,2025_Q2,850.0,3240854.0,0.00026227654809503917,0.0,323842.0,0.0
SF,Stifel Financial Corp,57311,STIFEL BANK AND TRUST,2025,3,2025_Q3,850.0,3416039.0,0.00024882619899831355,0.0,350779.0,0.0
